name,thermal_cond,thermal_cond_liq,spec_heat_cap,spec_heat_cap_liq,density,density_liq,electrical_res,rel_permit,rel_permeab,q3d_id,young_modulus,poissons_ratios,thermal_expansion_coeffcient,type,melting_temp
zinc,115.5,,389,,7140,,5.99E-08,,,zinc,1.15E+11,0.33,6.35E-05,,
Acrylic Resin-JSME,,,,,,,,,,Acrylic Resin-JSME,,,,Conductor,
Ag-99.9%,,,,,,,,,,Ag-99.9%,,,,Conductor,
Ag-99.99%,,,,,,,,,,Ag-99.99%,,,,Conductor,
Ag-Typical,,,,,,,,,,Ag-Typical,,,,Conductor,
Ag-Typical_Ref,,,,,,,,,,Ag-Typical_Ref,,,,Conductor,
Air,,,,,,,,,,Air,,,,Conductor,
Air(@300K),,,,,,,,,,Air(@300K),,,,Conductor,
Air-Dry(@325K),,,,,,,,,,Air-Dry(@325K),,,,Conductor,
Air-Moist(@325K),,,,,,,,,,Air-Moist(@325K),,,,Conductor,
Air-solid,,,,,,,,,,Air-solid,,,,Conductor,
Air@(10000m),,,,,,,,,,Air@(10000m),,,,Conductor,
Air@(1000m),,,,,,,,,,Air@(1000m),,,,Conductor,
Air@(11000m),,,,,,,,,,Air@(11000m),,,,Conductor,
Air@(12000m),,,,,,,,,,Air@(12000m),,,,Conductor,
Air@(2000m),,,,,,,,,,Air@(2000m),,,,Conductor,
Air@(3000m),,,,,,,,,,Air@(3000m),,,,Conductor,
Air@(4000m),,,,,,,,,,Air@(4000m),,,,Conductor,
Air@(5000m),,,,,,,,,,Air@(5000m),,,,Conductor,
Air@(500m),,,,,,,,,,Air@(500m),,,,Conductor,
Air@(6000m),,,,,,,,,,Air@(6000m),,,,Conductor,
Air@(7000m),,,,,,,,,,Air@(7000m),,,,Conductor,
Air@(8000m),,,,,,,,,,Air@(8000m),,,,Conductor,
Air@(9000m),,,,,,,,,,Air@(9000m),,,,Conductor,
Al-2024-T6,,,,,,,,,,Al-2024-T6,,,,Conductor,
Al-Die Cast,,,,,,,,,,Al-Die Cast,,,,Conductor,
Al-Die Cast-90,,,,,,,,,,Al-Die Cast-90,,,,Conductor,
Al-Die Cast-99.8,,,,,,,,,,Al-Die Cast-99.8,,,,Conductor,
Al-Duralumin,,,,,,,,,,Al-Duralumin,,,,Conductor,
Al-Extruded,,,,,,,,,,Al-Extruded,,,,Conductor,
Al-Pure,,,,,,,,,,Al-Pure,,,,Conductor,
Al-Pure_Ref,,,,,,,,,,Al-Pure_Ref,,,,Conductor,
Al-Silumin,,,,,,,,,,Al-Silumin,,,,Conductor,
Al_N,120,,734.3,,3250,,,8.8,,Al_N,3.05E+11,,5.20E-06,Insulator,
Alnico5,,,,,,,,,,Alnico5,,,,Conductor,
Alnico9,,,,,,,,,,Alnico9,,,,Conductor,
Alumina,35,,850,,3960,,,9.8,,Alumina,3.70E+11,0.22,8.10E-06,Insulator,
Alumina-Typical,,,,,,,,,,Alumina-Typical,,,,Conductor,
Aluminum 1100,,,,,,,,,,Aluminum 1100,,,,Conductor,
Aluminum 6061-T4,,,,,,,,,,Aluminum 6061-T4,,,,Conductor,
Aluminum 6061-T6,,,,,,,,,,Aluminum 6061-T6,,,,Conductor,
Aluminum 6063-T5,,,,,,,,,,Aluminum 6063-T5,,,,Conductor,
