id,t_base,width,length,stress,rth,Temp,area
0,3,60,60,894586799.4,0.845986603,28.45986603,3600
1,4,40,80,943763012.1,0.897618599,28.97618599,3200
2,2,80,40,884333480.1,0.734489547,27.34489547,3200
3,2.5,50,70,979354536.2,1.056109399,30.56109399,3500
4,4.5,90,30,925825731.2,0.765065232,27.65065232,2700
5,3.5,30,50,860902442,0.634241372,26.34241372,1500
6,1.5,70,90,862060067.1,0.737075431,27.37075431,6300
7,1.75,45,45,938815818.2,0.904518806,29.04518806,2025
8,3.75,85,85,993142516,0.890996036,28.90996036,7225
9,4.75,25,65,890589348,0.899530863,28.99530863,1625
10,2.75,65,25,872501954.6,0.655062649,26.55062649,1625
11,2.25,35,95,965658259.9,0.982611901,29.82611901,3325
12,4.25,75,55,913345786.4,0.884154149,28.84154149,4125
13,3.25,55,35,868265690.9,0.747780774,27.47780774,1925
14,1.25,95,75,863084799.6,0.662628976,26.62628976,7125
15,1.375,57.5,87.5,865411805.6,0.609103701,26.09103701,5031.25
16,3.375,97.5,47.5,907341507.8,0.933672776,29.33672776,4631.25
17,4.375,37.5,27.5,958859652,0.871696161,28.71696161,1031.25
18,2.375,77.5,67.5,869033799.3,0.776969696,27.76969696,5231.25
19,2.875,27.5,57.5,885532554,0.787979672,27.87979672,1581.25
20,4.875,67.5,97.5,986234225.7,0.8692404,28.692404,6581.25
21,3.875,47.5,77.5,932281486.4,0.87418748,28.7418748,3681.25
22,1.875,87.5,37.5,861090915,0.752198876,27.52198876,3281.25
23,1.625,32.5,62.5,861542833.9,0.610996337,26.10996337,2031.25
24,3.625,72.5,22.5,957177354.2,0.956331396,29.56331396,1631.25
25,4.625,52.5,42.5,919514847.1,0.93994509,29.3994509,2231.25
26,2.625,92.5,82.5,972493048.1,0.928947279,29.28947279,7631.25
27,2.125,42.5,32.5,876442537.3,0.759056676,27.59056676,1381.25
28,4.125,82.5,72.5,863749847.4,0.751698462,27.51698462,5981.25
29,3.125,22.5,92.5,945436650.6,0.920671054,29.20671054,2081.25
30,1.125,62.5,52.5,895932949.6,0.684231146,26.84231146,3281.25
31,1.1875,41.25,68.75,872037741.5,0.608271958,26.08271958,2835.9375
32,3.1875,81.25,28.75,871536123.5,0.6036969,26.036969,2335.9375
33,4.1875,21.25,48.75,896626458.7,0.842869811,28.42869811,1035.9375
34,2.1875,61.25,88.75,946253050.4,0.705527038,27.05527038,5435.9375
35,2.6875,31.25,38.75,905882739.7,0.796730617,27.96730617,1210.9375
36,4.6875,71.25,78.75,864018398.8,0.753852009,27.53852009,5610.9375
37,3.6875,51.25,98.75,876974007.4,0.746386454,27.46386454,5060.9375
38,1.6875,91.25,58.75,973354344.4,1.052906551,30.52906551,5360.9375
39,1.9375,26.25,83.75,920302667.7,0.905687429,29.05687429,2198.4375
40,3.9375,66.25,43.75,861427972.7,0.660199119,26.60199119,2898.4375
41,4.9375,46.25,23.75,861181238.5,0.642426432,26.42426432,1098.4375
42,2.9375,86.25,63.75,933075384.1,0.807258404,28.07258404,5498.4375
43,2.4375,56.25,53.75,987099694.2,0.882775085,28.82775085,3023.4375
44,4.4375,96.25,93.75,886155416.5,0.883882836,28.83882836,9023.4375
45,3.4375,36.25,73.75,869448627,0.725842053,27.25842053,2673.4375
46,1.4375,76.25,33.75,866088697,0.658339824,26.58339824,2573.4375
47,1.3125,38.75,41.25,959712333.7,1.033756905,30.33756905,1598.4375
48,3.3125,78.75,81.25,908088898.4,0.82944087,28.2944087,6398.4375
49,4.3125,58.75,61.25,865039868.5,0.64761318,26.4761318,3598.4375
50,2.3125,98.75,21.25,862814958,0.586550166,25.86550166,2098.4375
51,2.8125,48.75,91.25,914114891.9,0.9136682,29.136682,4448.4375
52,4.8125,88.75,51.25,966515866.7,0.979565404,29.79565404,4548.4375
53,3.8125,28.75,31.25,872978550,0.791848389,27.91848389,898.4375
54,1.8125,68.75,71.25,891249862.9,0.825359137,28.25359137,4898.4375
55,1.5625,53.75,26.25,993990666.3,0.929703219,29.29703219,1410.9375
56,3.5625,93.75,66.25,939621945.8,0.78366434,27.8366434,6210.9375
57,4.5625,33.75,86.25,863566083.1,0.665924771,26.65924771,2910.9375
58,2.5625,73.75,46.25,862243457.2,0.756222903,27.56222903,3410.9375
59,2.0625,23.75,76.25,860892669.1,0.672206253,26.72206253,1810.9375
60,4.0625,63.75,36.25,926629583.8,0.989329898,29.89329898,2310.9375
61,3.0625,43.75,56.25,980218414.8,0.898418662,28.98418662,2460.9375
62,1.0625,83.75,96.25,881382304.9,0.716521693,27.16521693,8060.9375
63,1.09375,51.875,55.625,866441485.5,0.718639787,27.18639787,2885.546875
64,3.09375,91.875,95.625,952954179.9,0.928364913,29.28364913,8785.546875
65,4.09375,31.875,75.625,902249994.8,0.763779241,27.63779241,2410.546875
66,2.09375,71.875,35.625,868016410.1,0.641236263,26.41236263,2560.546875
67,2.59375,21.875,85.625,866443602,0.580504306,25.80504306,1873.046875
68,4.59375,61.875,45.625,911841460.2,0.893563674,28.93563674,2823.046875
69,3.59375,41.875,25.625,905144366.3,0.910214881,29.10214881,1073.046875
70,1.59375,81.875,65.625,956326886.6,0.911916145,29.11916145,5373.046875
71,1.84375,36.875,30.625,867875963.4,0.713010364,27.13010364,1129.296875
72,3.84375,76.875,70.625,883726080.4,0.847917868,28.47917868,5429.296875
73,4.84375,56.875,90.625,983657392.3,1.019784356,30.19784356,5154.296875
74,2.84375,96.875,50.625,929838803.3,0.780970186,27.80970186,4904.296875
75,2.34375,46.875,60.625,860936748.7,0.727979694,27.27979694,2841.796875
76,4.34375,86.875,20.625,863045847.7,0.633482865,26.33482865,1791.796875
77,3.34375,26.875,40.625,942927875.2,0.961570641,29.61570641,1091.796875
78,1.34375,66.875,80.625,997437653,0.842599056,28.42599056,5391.796875
79,1.46875,29.375,73.125,963964999.9,0.777186926,27.77186926,2148.046875
80,3.46875,69.375,33.125,893905181.9,0.80641526,28.0641526,2298.046875
81,4.46875,49.375,53.125,874921489.9,0.741173728,27.41173728,2623.046875
82,2.46875,89.375,93.125,969931346,0.872182722,28.72182722,8323.046875
83,2.96875,59.375,23.125,917190031.2,0.849892622,28.49892622,1373.046875
84,4.96875,99.375,63.125,862014599,0.702990732,27.02990732,6273.046875
85,3.96875,39.375,83.125,863825896.3,0.649024854,26.49024854,3273.046875
86,1.96875,79.375,43.125,911080156.5,0.792355759,27.92355759,3423.046875
87,1.71875,44.375,98.125,963109106.8,0.820198211,28.20198211,4354.296875
88,3.71875,84.375,58.125,871151921.8,0.817703871,28.17703871,4904.296875
89,4.71875,24.375,38.125,888665019.1,0.682355091,26.82355091,929.296875
90,2.71875,64.375,78.125,871606148.2,0.809226854,28.09226854,5029.296875
91,2.21875,34.375,48.125,990544407,1.012990994,30.12990994,1654.296875
92,4.21875,74.375,88.125,936337125.5,0.91337179,29.1337179,6554.296875
93,3.21875,54.375,68.125,861619299,0.730859801,27.30859801,3704.296875
94,1.21875,94.375,28.125,861054893.9,0.676091782,26.76091782,2654.296875
95,1.15625,30.625,94.375,923450052.1,0.898439395,28.98439395,2890.234375
96,3.15625,70.625,54.375,976783725.9,0.843635243,28.43635243,3840.234375
97,4.15625,50.625,34.375,879129661.6,0.854517694,28.54517694,1740.234375
98,2.15625,90.625,74.375,865152975.2,0.735184282,27.35184282,6740.234375
99,2.65625,40.625,44.375,949595708.2,1.04237904,30.4237904,1802.734375
100,4.65625,80.625,84.375,899409413.7,0.785330733,27.85330733,6802.734375
101,3.65625,20.625,64.375,889311951.7,0.746066522,27.46066522,1327.734375
102,1.65625,60.625,24.375,869728064.8,0.600342042,26.00342042,1477.734375
103,1.90625,55.625,79.375,870650225.2,0.595528966,25.95528966,4415.234375
104,3.90625,95.625,39.375,898024778.3,0.822639859,28.22639859,3765.234375
105,4.90625,35.625,59.375,947933238.8,0.917052515,29.17052515,2115.234375
106,2.90625,75.625,99.375,864585447.4,0.803004003,28.03004003,7515.234375
107,2.40625,25.625,29.375,878055938.9,0.712454112,27.12454112,752.734375
108,4.40625,65.625,69.375,975078009.8,1.028494096,30.28494096,4552.734375
109,3.40625,45.625,89.375,921884623.2,0.813358156,28.13358156,4077.734375
110,1.40625,85.625,49.375,861237932.4,0.676432306,26.76432306,4227.734375
111,1.28125,48.125,36.875,861397736.9,0.72760945,27.2760945,1774.609375
112,3.28125,88.125,76.875,863283360.3,0.724705328,27.24705328,6774.609375
113,4.28125,28.125,96.875,991410395.7,1.06248129,30.6248129,2724.609375
114,2.28125,68.125,56.875,937162002,0.912759734,29.12759734,3874.609375
115,2.78125,38.125,66.875,861768632.4,0.708266503,27.08266503,2549.609375
116,4.78125,78.125,26.875,861006077.5,0.654170874,26.54170874,2099.609375
117,3.78125,58.125,46.875,924248162.9,0.782945086,27.82945086,2724.609375
118,1.78125,98.125,86.875,977646741.1,0.891901927,28.91901927,8524.609375
119,1.53125,23.125,51.875,879692146.2,0.866947889,28.66947889,1199.609375
120,3.53125,63.125,91.875,865470588.1,0.68370665,26.8370665,5799.609375
121,4.53125,43.125,71.875,950439312.9,0.997845978,29.97845978,3099.609375
122,2.53125,83.125,31.875,900121361,0.768085363,27.68085363,2649.609375
123,2.03125,53.125,81.875,875433111.2,0.792248958,27.92248958,4349.609375
