Min Dimensions,EMPTY,power_trace,signal_trace,bonding wire pad,power_lead,MOS,signal_lead,neutral_lead
MinWidth,1,1,1,0,6.4,4,5,15
MinLength,1,1,1,0,6.4,5.7,10,7
MinHorExtension,1,1,1,0,6.4,4,5,15
MinVerExtension,1,1,1,0,6.4,5.7,10,7
MinHorEnclosure,EMPTY,power_trace,signal_trace,bonding wire pad,power_lead,MOS,signal_lead,neutral_lead
EMPTY,1,1,1,1,1,1,1,1
power_trace,1,1,1,1,1,2,1,1
signal_trace,1,1,1,1,1,1,1,1
bonding wire pad,1,1,1,1,1,1,1,1
power_lead,1,1,1,1,1,1,1,1
MOS,1,2,1,1,1,1,1,1
signal_lead,1,1,1,1,1,1,1,1
neutral_lead,1,1,1,1,1,1,1,1
MinVerEnclosure,EMPTY,power_trace,signal_trace,bonding wire pad,power_lead,MOS,signal_lead,neutral_lead
EMPTY,1,1,1,1,1,1,1,1
power_trace,1,1,1,1,1,2,1,1
signal_trace,1,1,1,1,1,1,1,1
bonding wire pad,1,1,1,1,1,1,1,1
power_lead,1,1,1,1,1,1,1,1
MOS,1,2,1,1,1,1,1,1
signal_lead,1,1,1,1,1,1,1,1
neutral_lead,1,1,1,1,1,1,1,1
MinHorSpacing,EMPTY,power_trace,signal_trace,bonding wire pad,power_lead,MOS,signal_lead,neutral_lead
EMPTY,1,1,1,1,1,1,1,1
power_trace,1,1,1,1,1,1,1,1
signal_trace,1,1,1,1,1,1,1,1
bonding wire pad,1,1,1,1,1,1,1,1
power_lead,1,1,1,1,1,1.5,1,1
MOS,1,1,1,1,1.5,2,1,1
signal_lead,1,1,1,1,1,1,1,1
neutral_lead,1,1,1,1,1,1,1,1
MinVerSpacing,EMPTY,power_trace,signal_trace,bonding wire pad,power_lead,MOS,signal_lead,neutral_lead
EMPTY,1,1,1,1,1,1,1,1
power_trace,1,1,1,1,1,1,1,1
signal_trace,1,1,1,1,1,1,1,1
bonding wire pad,1,1,1,1,1,1,1,1
power_lead,1,1,1,1,1,1.5,1,1
MOS,1,1,1,1,1.5,2,1,1
signal_lead,1,1,1,1,1,1,1,1
neutral_lead,1,1,1,1,1,1,1,1
